molecule,init_idx,gemnet_dT_traj0_energy,gemnet_dT_trajN_energy,gemnet_dT_energy_off_by_meV,gemnet_T_traj0_energy,gemnet_T_trajN_energy,gemnet_T_energy_off_by_meV
C3H8,14747,-3243.803194833781,-3243.578882070376,224.3127634051234,-3243.803194833781,-3243.711557193723,91.63764005825215
C4NH5,15094,-5722.848494094277,-5722.753454396873,95.03969740399043,-5722.848494094277,-5722.882874164105,-34.38006982742081
C13H14,15190,-13718.61326907252,-13718.420308121837,192.96095068420982,-13718.61326907252,-13718.329457862037,283.81121048369096
C9H12,15819,-9533.413507636755,-9531.693739837478,1719.7677992771787,-9533.413507636755,-9533.31160254897,101.90508778396179
S3C8H4,15849,-40876.04238215569,-40876.180996005874,-138.61385018390138,-40876.04238215569,-40876.77683437946,-734.4522237690398
BrC2H,15883,-72135.37731705612,-72135.5464749363,-169.15788018377498,-72135.37731705612,-72135.49824349527,-120.92643915093504
OC6H6,17262,-8371.365735192749,-8371.477304986176,-111.5697934274067,-8371.365735192749,-8371.977943228256,-612.2080355071375
Cl2C4,17835,-29194.80203621121,-29194.727591449664,74.44476154705626,-29194.80203621121,-29195.105287886658,-303.25167544651777
F6C6,19508,-22534.756342070123,-22534.833514179965,-77.17210984264966,-22534.756342070123,-22534.947796276414,-191.45420629138243
Cl4C,23446,-51134.203514062705,-51134.57475333239,-371.2392696834286,-51134.203514062705,-51134.30427824072,-100.7641780161066
F3N3C3,23643,-15741.335680527314,-15741.420134853126,-84.45432581174828,-15741.335680527314,-15741.547681296888,-212.0007695739332
C16H12,24024,-16796.9511117128,-16796.227607881417,723.5038313810946,-16796.9511117128,-16796.499823094488,451.28861831108225
ClC6H5,27561,-18832.067254667494,-18831.924000335177,143.2543323171558,-18832.067254667494,-18832.06076803011,6.486637383204652
OC5H10,29626,-7399.629210475344,-7399.180034830756,449.17564458773995,-7399.629210475344,-7399.650557700544,-21.347225199860986
NC4H7,32406,-5755.8011467502065,-5755.5292461559275,271.9005942790318,-5755.8011467502065,-5755.603627412422,197.51933778479724
Cl7NC8,34447,-97462.26847041762,-97461.63888718754,629.5832300820621,-97462.26847041762,-97462.18048200951,87.9884081077762
C3H6,36240,-3210.197780794322,-3210.2007302290067,-2.9494346845240216,-3210.197780794322,-3210.234373036216,-36.59224189368615
Br4C2,37758,-282259.8675981438,-282259.8052696328,62.3285110341385,-282259.8675981438,-282259.8395316177,28.066526108887047
ClC7H9,39503,-19932.43315620826,-19930.738689595422,1694.4666128365498,-19932.43315620826,-19932.304434176396,128.7220318627078
C2H4,39719,-2139.504482252323,-2139.572227413688,-67.74516136465536,-2139.504482252323,-2139.6626948061516,-158.21255382843447
NC13H7,43011,-15094.45355881448,-15094.25718757564,196.37123884058383,-15094.45355881448,-15094.179475181494,274.08363298673066
C11H10,44599,-11576.67492795353,-11576.114313591645,560.6143618861097,-11576.67492795353,-11576.662262822692,12.665130838286132
C22H16,44700,-23088.4184232457,-23088.192402210494,226.02103520694072,-23088.4184232457,-23088.905337205444,-486.9139597431058
Cl5C6H,49489,-68863.76618362768,-68863.66182837164,104.35525604407303,-68863.76618362768,-68863.88286101977,-116.67739208496641
