molecule,init_idx,gemnet_traj0_energy,gemnet_trajN_energy,gemnet_energy_off_by_meV,maceoff_traj0_energy,maceoff_trajN_energy,maceoff_energy_off_by_meV
SC4H10,3157,-15151.13476871172,-15150.721628835965,413.13987575449573,-15151.13476871172,-15150.860530890068,274.2378216516954
NC5H13,3233,-6890.639084462117,-6890.653333696381,-14.249234263843391,-6890.639084462117,-6890.590217819534,48.86664258356177
C2H2,3573,-2105.567380200731,-2105.5816536396655,-14.273438934651494,-2105.567380200731,-2105.6366549411005,-69.27474036956482
BrC2H5,4070,-72203.35349287662,-72203.45971503625,-106.22215963667259,-72203.35349287662,-72203.3138122631,39.680613510427065
SC4H8,4080,-15117.77207336288,-15117.855210673195,-83.13731031557836,-15117.77207336288,-15117.838284729749,-66.21136686953832
S2H2,5049,-21706.69948728764,-21706.698740572494,0.7467151444870979,-21706.69948728764,-21706.706851216477,-7.363928838458378
C11H12,5104,-11609.0673285582,-11608.774219359912,293.1091982882208,-11609.0673285582,-11608.744631079337,322.6974788631196
NCH,5351,-2544.060497087409,-2544.0484244877,12.072599709426868,-2544.060497087409,-2544.043789205857,16.707881552065373
C5H12,5604,-5384.270335842131,-5384.181659884777,88.6759573540985,-5384.270335842131,-5384.387636908762,-117.30106663071638
O2C4H8,5720,-8376.635188035572,-8376.944170405694,-308.98237012115715,-8376.635188035572,-8376.598260042432,36.92799314012518
C8NCH9,5875,-10976.34772974884,-10976.489411617993,-141.68186915230763,-10976.34772974884,-10976.423066297333,-75.33654849248705
BrCH3,5961,-71133.09299233094,-71133.05434755221,38.64477873139549,-71133.09299233094,-71133.01693606898,76.05626196891535
OSC4H4,6040,-17101.10728973921,-17100.99925959164,108.03014757038909,-17101.10728973921,-17101.02082762508,86.46211412997218
Cl2CH2,6202,-26119.02972957803,-26119.011731267678,17.998310351686087,-26119.02972957803,-26119.005349877505,24.379700524150394
OC3H8,6373,-5290.693209177724,-5291.054932740804,-361.7235630799769,-5290.693209177724,-5290.818222150537,-125.01297281232837
F6N2C8,6417,-27593.491119434537,-27593.2861668685,204.952566036809,-27593.491119434537,-27593.373634334905,117.48509963217657
SC2H6,6654,-13010.332288212487,-13010.257713358884,74.5748536028259,-13010.332288212487,-13010.216003304398,116.28490808834613
C8H8,6855,-8427.770549958166,-8427.285760816996,484.78914117004024,-8427.770549958166,-8427.429892927988,340.657030177681
C8H14,6916,-8527.672234348396,-8527.485144847658,187.08950073778396,-8527.672234348396,-8528.036817297601,-364.5829492052144
NC5NH4,7016,-8234.888390570499,-8234.870216233077,18.174337421442033,-8234.888390570499,-8234.740480743229,147.90982727026858
N2F6C6,7421,-25516.820974313432,-25516.55933045028,261.6438631521305,-25516.820974313432,-25516.660421081793,160.55323163891444
Cl6C6,7738,-81372.20816708777,-81372.07911283617,129.0542515926063,-81372.20816708777,-81372.00151728613,206.64980163564906
C7H14,8411,-7491.295650412193,-7491.405055609423,-109.40519722953468,-7491.295650412193,-7491.513748394899,-218.09798270624015
SC3H8,8845,-14080.80768084455,-14080.618838237826,188.8426067234832,-14080.80768084455,-14080.633463339134,174.21750541507208
C4H6,9102,-4247.072829969585,-4246.866241228686,206.58874089895107,-4247.072829969585,-4246.9895388412115,83.29112837327557
Br2CH2,9630,-141162.9893456896,-141163.01532137353,-25.975683936849236,-141162.9893456896,-141163.03793105876,-48.58536916435696
BrC6H5,9803,-76353.62095050143,-76353.52230704777,98.64345366077032,-76353.62095050143,-76353.45284074715,168.10975427506492
C4H10,10328,-4314.2927826648165,-4314.1789169610665,113.86570374997973,-4314.2927826648165,-4314.163082763621,129.6999011956359
FC6H5,10844,-9025.986080095898,-9025.791802959042,194.27713685581693,-9025.986080095898,-9025.919537080763,66.54301513481187
F3C6H3,10924,-14430.201844521327,-14430.135722374589,66.12214673805283,-14430.201844521327,-14430.142962209664,58.88231166318292
NC8H19,11092,-10102.761328747429,-10102.336231948093,425.0967993357335,-10102.761328747429,-10102.325304672411,436.0240750174853
F4S2C2,11289,-34622.45628563928,-34622.363766478375,92.5191609057947,-34622.45628563928,-34622.50095232932,-44.66669003886636
F3BrC3,12088,-81312.76869324186,-81312.75480059368,13.892648174078204,-81312.76869324186,-81312.58360704753,185.0861943239579
F4I2C6,12131,-33304.85667527489,-33304.97211352594,-115.43825105036376,-33304.85667527489,-33304.59071589265,265.9593822390889
