molecule,init_idx,traj[0] potential energy,traj[0] kinetic energy,traj[-1] potential energy,traj[-1] kinetic energy,total energy deviation (meV)
C6H14OH2,35695,-8535.872145910125,0.9805528358412394,-8535.87009056864,1.0914548887672397,112.9573944106832
OC5H10OH2,8639,-9480.935689224476,0.8676315033269025,-9480.458107321532,1.0352323736549407,645.1827732719717
ClC2H5NC2H7,27976,-18362.42771584549,0.8651925363983506,-18361.812429893613,1.7511624410901188,1501.2558565695176
C6H12SC2H6,3856,-19433.199627791342,1.065294739894874,-19432.79822989215,3.166448178832176,2502.551338130594
OCNC4H11OH2,46118,-10988.54050418319,0.8917788570528707,-10987.784098016538,1.5516392014229332,1416.2665110212195
C5H10C5H10,45934,-10702.497388766515,1.231754918120104,-10701.979231663403,4.553808152511539,3840.2103375034776
OC5H10OC2H6,6571,-11621.893691696469,1.0262567709232668,-11620.986875504788,2.757515399800993,2638.074820557465
O3FClN2SC13N4C5SH18,40338,-70976.73624256985,2.0074771147822124,-70974.76863127523,10.162117570516402,10122.251750358138
O3N2S2C11N3C7H21,36033,-54295.71297325706,2.0074771147822124,-54293.56177146247,3.452747040909759,3596.471720719584
BrN2OC19H15,30918,-95034.34776273377,1.6846316470837508,-95033.71319841534,5.667611936839,4617.5446081833625
O4C15N3C5H21,44431,-33757.622075602645,1.911764449115791,-33754.99088756304,8.774360948357366,9493.784538845292
OSBrOC12N2C5H17,18527,-105878.66162970563,1.7216599076617813,-105878.21579433788,6.052180764418557,4776.356224510998
O2ClO2C16N2C2H15,40547,-42621.34589708643,1.7216599076617813,-42620.26642154833,4.619279980345299,3977.0956107841967
OFN3OC18N3C4H17,50097,-38868.45186515152,1.9117644491157915,-38867.7795632471,3.946152896574381,2706.6903518756662
OClO3C17H23,5804,-38732.08261167361,1.8467082837147477,-38732.022583486505,3.8789423085644,2092.2622119554712
ONOC16N2C2H15,1971,-27489.798582139487,1.6846316470837508,-27489.2708599738,3.9452891830350145,2788.3797016365693
O6C6N4C10H20,930,-35178.09567050078,1.8574809032964206,-35177.24374652261,8.782184540089125,7776.627614961142
FIC12N2C7H24,46573,-33909.55977019362,1.9036972054525976,-33908.83797545818,3.8113886051266763,2629.48613511998
O5C8NC5H13,29486,-25435.737450622117,1.2741569469419638,-25435.127975680425,2.194855479246316,1530.1734739966769
ClN4OC18N2H11,38460,-42374.94390689229,1.6172746111629053,-42373.4350177636,4.188189970707304,4079.8044882317085
OClOC7N3C10H24,6147,-39126.009080671865,1.9036972054525974,-39125.589755158646,3.6067177698995008,2122.3460776674915
O2C2NSC9N3CH8,22533,-33479.15696700871,1.065294739894874,-33479.06123855275,1.427574299998042,458.00801606399233
OCNC17H27,42546,-22657.08320559966,1.9036972054525976,-22657.1641197458,4.29887055595388,2314.2592043624904
ON2C7NC6H15,47858,-20254.371897867026,1.2741569469419638,-20253.4360397102,7.71377175034525,7375.472960231257
O2NO3C15NC4H16,7824,-33198.529771537986,1.7695305414864442,-33196.592411731894,4.494883988515706,4662.713253123814
N4OC12N2C9H22,2544,-33142.418728939825,2.048742037607507,-33141.822368679255,9.942365879798544,8489.984102759126
O3FBrNOC16N3C2H12,42440,-105793.99325488068,1.7216599076617813,-105792.44027487292,7.603536053600362,7434.856153706384
Cl2O2C6NC8H19,2530,-45472.61556836614,1.6846316470837508,-45472.5440483729,5.333255078370064,3720.143424521649
Cl4O7C12H18,16668,-77182.1069971709,1.7402646069320973,-77179.97442814552,4.265273174916481,4657.577593351679
C7H8,12699,-7394.175707265217,0.7666681504913424,-7394.024189141841,0.6984694643112688,83.31943719644985
NC4H11,32793,-5820.031795621937,0.7972497188100374,-5819.803757078311,1.3995361672780582,830.3249920938629
Cl2C6H4,33455,-31339.582287567708,0.5948392252409701,-31339.81307783016,0.960693149504327,135.06366181016915
OC3H6,40208,-5258.927123708168,0.5298961588765397,-5258.835316641341,0.9272360071092796,489.1469150601605
O3C2H4,26874,-8285.388151443056,0.471167349304967,-8285.443272575289,1.122878195843357,596.5897143058032
ONC2H7,15220,-5727.869653377112,0.5422428000137463,-5727.12152780885,1.2417605253664026,1447.6432936144827
BrC6H5,29237,-76354.13223428633,0.5948392252409702,-76353.99722441305,0.5063904456349898,46.56109367195871
NC5H5,27211,-6759.971850317598,0.5422428000137464,-6760.135002083189,0.853939303185878,148.5447375817509
