Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
219.0000         0.4126       0.2601       0.1525  1180.1
220.0000         0.4126       0.2518       0.1608  1243.9
221.0000         0.4126       0.2737       0.1390  1075.0
222.0000         0.4127       0.2868       0.1259   974.3
223.0000         0.4126       0.2918       0.1208   934.4
224.0000         0.4127       0.2770       0.1357  1049.8
225.0000         0.4126       0.3024       0.1102   852.8
226.0000         0.4127       0.2776       0.1351  1045.4
227.0000         0.4128       0.2822       0.1306  1010.2
228.0000         0.4126       0.2728       0.1399  1081.9
229.0000         0.4126       0.2794       0.1332  1030.5
230.0000         0.4127       0.2845       0.1282   991.9
231.0000         0.4126       0.2726       0.1400  1083.2
232.0000         0.4125       0.2695       0.1430  1106.2
233.0000         0.4126       0.2650       0.1476  1142.0
234.0000         0.4126       0.2807       0.1319  1020.1
235.0000         0.4126       0.2630       0.1497  1157.9
236.0000         0.4127       0.2931       0.1196   925.2
237.0000         0.4124       0.2624       0.1500  1160.7
238.0000         0.4125       0.2883       0.1242   960.7
239.0000         0.4126       0.2746       0.1380  1067.7
240.0000         0.4125       0.2820       0.1306  1010.1
241.0000         0.4127       0.3156       0.0971   751.0
242.0000         0.4125       0.2715       0.1410  1090.9
243.0000         0.4127       0.2931       0.1196   925.1
244.0000         0.4127       0.2756       0.1371  1060.7
245.0000         0.4127       0.2790       0.1337  1034.3
246.0000         0.4126       0.2807       0.1320  1020.8
247.0000         0.4125       0.2832       0.1293  1000.4
248.0000         0.4126       0.2676       0.1449  1121.1
249.0000         0.4127       0.2899       0.1228   950.2
250.0000         0.4127       0.2886       0.1241   960.4
251.0000         0.4126       0.2606       0.1521  1176.6
252.0000         0.4127       0.2756       0.1370  1060.2
253.0000         0.4127       0.2669       0.1458  1127.6
254.0000         0.4127       0.2745       0.1381  1068.5
255.0000         0.4127       0.2983       0.1144   885.3
256.0000         0.4126       0.2701       0.1424  1102.0
257.0000         0.4127       0.2671       0.1456  1126.4
258.0000         0.4126       0.2550       0.1577  1219.7
259.0000         0.4127       0.2838       0.1289   997.1
260.0000         0.4126       0.2590       0.1536  1188.2
261.0000         0.4127       0.2728       0.1398  1081.8
262.0000         0.4127       0.2696       0.1431  1107.3
263.0000         0.4127       0.2845       0.1282   992.0
264.0000         0.4127       0.2858       0.1269   981.8
265.0000         0.4126       0.2778       0.1348  1042.8
266.0000         0.4127       0.2706       0.1420  1098.7
267.0000         0.4126       0.2676       0.1450  1121.7
268.0000         0.4127       0.2697       0.1430  1106.5
269.0000         0.4127       0.2838       0.1288   996.8
270.0000         0.4127       0.2936       0.1191   921.5
271.0000         0.4126       0.2669       0.1457  1127.3
272.0000         0.4127       0.2597       0.1530  1184.0
273.0000         0.4126       0.2661       0.1466  1133.8
274.0000         0.4127       0.2793       0.1334  1031.9
275.0000         0.4127       0.2907       0.1220   943.5
276.0000         0.4126       0.2671       0.1455  1126.0
277.0000         0.4127       0.2661       0.1466  1134.3
278.0000         0.4127       0.2908       0.1219   943.3
279.0000         0.4126       0.2613       0.1513  1170.5
280.0000         0.4126       0.2630       0.1496  1157.3
281.0000         0.4126       0.2737       0.1389  1074.8
282.0000         0.4126       0.2671       0.1455  1125.4
283.0000         0.4127       0.2733       0.1394  1078.4
284.0000         0.4128       0.2976       0.1152   891.1
285.0000         0.4126       0.2899       0.1227   949.5
286.0000         0.4127       0.2795       0.1333  1031.0
287.0000         0.4127       0.2809       0.1317  1019.2
288.0000         0.4127       0.2825       0.1301  1006.7
289.0000         0.4126       0.2623       0.1503  1162.8
290.0000         0.4127       0.2672       0.1455  1125.6
291.0000         0.4127       0.2816       0.1311  1014.1
292.0000         0.4126       0.2685       0.1441  1115.0
293.0000         0.4126       0.2594       0.1532  1185.2
294.0000         0.4126       0.2561       0.1565  1210.8
