# this is for gemnet-dT! no energy drift it seems
Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
221.0000         0.3934       0.2683       0.1251   967.9
222.0000         0.3936       0.2853       0.1082   837.3
223.0000         0.3935       0.2759       0.1176   909.6
224.0000         0.3933       0.2779       0.1154   893.0
225.0000         0.3935       0.2749       0.1186   917.2
226.0000         0.3934       0.2739       0.1196   925.0
227.0000         0.3935       0.2721       0.1213   938.8
228.0000         0.3935       0.2777       0.1158   895.6
229.0000         0.3935       0.2796       0.1138   880.5
230.0000         0.3935       0.2660       0.1275   986.5
231.0000         0.3932       0.2637       0.1295  1001.5
232.0000         0.3934       0.2654       0.1280   989.9
233.0000         0.3934       0.2641       0.1293  1000.2
234.0000         0.3934       0.2747       0.1187   918.5
235.0000         0.3933       0.2699       0.1234   954.6
236.0000         0.3935       0.2811       0.1124   869.3
237.0000         0.3933       0.2593       0.1341  1037.2
238.0000         0.3935       0.2825       0.1110   858.8
239.0000         0.3933       0.2528       0.1405  1086.6
240.0000         0.3934       0.2769       0.1165   901.2
241.0000         0.3935       0.2853       0.1082   837.4
242.0000         0.3935       0.2764       0.1170   905.4
243.0000         0.3934       0.2557       0.1377  1065.1
244.0000         0.3934       0.2688       0.1246   964.0
245.0000         0.3935       0.2864       0.1071   828.6
246.0000         0.3935       0.2853       0.1082   836.7
247.0000         0.3934       0.2766       0.1168   903.3
248.0000         0.3933       0.2668       0.1265   978.9
249.0000         0.3934       0.2562       0.1373  1062.0
250.0000         0.3935       0.2632       0.1303  1008.0
251.0000         0.3934       0.2683       0.1252   968.4
252.0000         0.3934       0.2713       0.1221   944.9
253.0000         0.3934       0.2744       0.1190   920.9
254.0000         0.3934       0.2662       0.1272   984.2
255.0000         0.3935       0.2714       0.1220   944.1
256.0000         0.3934       0.2531       0.1403  1085.2
257.0000         0.3934       0.2714       0.1220   944.1
258.0000         0.3934       0.2735       0.1199   927.8
259.0000         0.3935       0.2883       0.1052   814.2
260.0000         0.3934       0.2802       0.1132   875.9
261.0000         0.3934       0.2550       0.1384  1070.5
262.0000         0.3934       0.2586       0.1349  1043.4
263.0000         0.3933       0.2751       0.1182   914.7
264.0000         0.3934       0.2634       0.1300  1005.7
265.0000         0.3934       0.2627       0.1307  1011.3
266.0000         0.3933       0.2587       0.1346  1041.3
267.0000         0.3932       0.2369       0.1563  1209.2
268.0000         0.3932       0.2938       0.0994   768.8
269.0000         0.3933       0.2880       0.1053   814.6
270.0000         0.3935       0.2943       0.0992   767.7
271.0000         0.3935       0.2942       0.0993   768.1
272.0000         0.3934       0.2977       0.0957   740.1
273.0000         0.3933       0.3001       0.0932   720.7
274.0000         0.3932       0.2973       0.0960   742.4
275.0000         0.3934       0.3054       0.0880   680.6
276.0000         0.3936       0.2897       0.1039   803.4
277.0000         0.3934       0.2696       0.1237   957.0
278.0000         0.3937       0.3027       0.0910   704.4
279.0000         0.3934       0.2620       0.1314  1016.6
280.0000         0.3934       0.2852       0.1082   837.1
281.0000         0.3931       0.2623       0.1308  1012.0
282.0000         0.3934       0.2726       0.1208   934.9
283.0000         0.3934       0.2855       0.1080   835.2
284.0000         0.3933       0.2824       0.1109   857.8
285.0000         0.3933       0.2505       0.1428  1104.6
286.0000         0.3934       0.2609       0.1325  1025.1
287.0000         0.3934       0.2765       0.1169   904.3
288.0000         0.3933       0.2655       0.1278   988.4
289.0000         0.3935       0.2888       0.1047   810.2
290.0000         0.3932       0.2668       0.1265   978.6
291.0000         0.3935       0.3076       0.0858   664.1
292.0000         0.3934       0.3037       0.0898   694.5
293.0000         0.3935       0.3192       0.0742   574.2
294.0000         0.3935       0.3185       0.0750   580.0
295.0000         0.3935       0.2991       0.0944   730.4
296.0000         0.3935       0.3141       0.0794   614.6
297.0000         0.3934       0.3022       0.0913   706.0
298.0000         0.3935       0.2691       0.1244   962.4
299.0000         0.3935       0.2668       0.1267   980.4
300.0000         0.3934       0.2674       0.1261   975.3
301.0000         0.3934       0.2480       0.1453  1124.5
302.0000         0.3934       0.2581       0.1353  1046.4
303.0000         0.3935       0.2614       0.1321  1021.7
304.0000         0.3934       0.2590       0.1344  1039.5
305.0000         0.3935       0.2697       0.1238   957.8
306.0000         0.3934       0.2691       0.1242   961.2
307.0000         0.3934       0.2608       0.1326  1025.8
308.0000         0.3935       0.2768       0.1166   902.3
309.0000         0.3935       0.2635       0.1299  1005.2
310.0000         0.3934       0.2691       0.1243   961.5
311.0000         0.3933       0.2787       0.1146   886.7
312.0000         0.3935       0.2790       0.1146   886.2
313.0000         0.3935       0.2773       0.1162   899.3
314.0000         0.3934       0.2611       0.1323  1023.3
315.0000         0.3933       0.2558       0.1376  1064.3
316.0000         0.3935       0.2731       0.1203   930.8
317.0000         0.3934       0.2571       0.1363  1054.5
318.0000         0.3935       0.2752       0.1183   915.1
319.0000         0.3934       0.2689       0.1245   963.5
320.0000         0.3934       0.2766       0.1168   903.7
321.0000         0.3935       0.2789       0.1146   886.5
322.0000         0.3933       0.2414       0.1519  1175.1
323.0000         0.3935       0.2642       0.1293  1000.3
324.0000         0.3934       0.2606       0.1328  1027.6
325.0000         0.3934       0.2397       0.1537  1189.2
326.0000         0.3934       0.2505       0.1429  1105.6
327.0000         0.3935       0.2879       0.1056   816.7
328.0000         0.3934       0.2694       0.1240   959.3
329.0000         0.3935       0.2807       0.1128   872.5
330.0000         0.3934       0.2661       0.1273   984.6
331.0000         0.3935       0.2690       0.1245   963.1
332.0000         0.3935       0.2709       0.1226   948.8
333.0000         0.3934       0.2432       0.1502  1162.1
334.0000         0.3934       0.2509       0.1426  1103.0
335.0000         0.3934       0.2519       0.1415  1094.8
